English,Korean,Example
account for,설명하다,Please account for the missing inventory.
apply for,지원하다,I want to apply for the position.
as soon as possible,가능한 빨리,Please reply as soon as possible.
ask for,요청하다,The customer asked for a refund.
attend to,처리하다,I'll attend to the matter immediately.
be in charge of,~을 담당하다,She is in charge of marketing.
be subject to,~의 대상이다,Prices are subject to change.
break down,고장 나다,The copier broke down again.
bring up,언급하다,Don't bring up that topic.
call back,다시 전화하다,I'll call you back later.
call off,취소하다,The meeting was called off.
carry out,실행하다,We will carry out the plan.
catch up on,밀린 일을 처리하다,I need to catch up on emails.
check in,체크인하다,Please check in at the desk.
check out,체크아웃하다,Check out is at 11 AM.
come up with,떠올리다,We need to come up with a solution.
cut down on,줄이다,We must cut down on costs.
drop off,내려주다,I'll drop off the package.
fill in for,대신하다,Can you fill in for me?
fill out,작성하다,Please fill out this form.
follow up,후속 조치하다,I will follow up next week.
get back to,다시 연락하다,I'll get back to you soon.
give a hand,도와주다,Could you give me a hand?
go over,검토하다,Let's go over the report.
hand in,제출하다,Hand in your timesheet by Friday.
hand out,나눠주다,Please hand out these flyers.
hold on,잠깐 기다리다,"Hold on, I'll transfer you."
in advance,미리,Pay in advance for a discount.
in charge of,담당하는,Who is in charge of this project?
keep track of,기록을 추적하다,Keep track of your expenses.
look forward to,기대하다,I look forward to meeting you.
look into,조사하다,We will look into the issue.
on behalf of,~을 대신하여,I write on behalf of my client.
on schedule,예정대로,The flight is on schedule.
out of stock,재고가 없는,That item is out of stock.
pick up,픽업하다,I'll pick you up at 3.
point out,지적하다,Let me point out an error.
put off,미루다,The launch was put off.
run out of,다 떨어지다,We ran out of paper.
set up,"설치하다, 마련하다",Set up a meeting tomorrow.
sign up for,가입하다,Sign up for our newsletter.
stand by,대기하다,Please stand by for instructions.
stock up,비축하다,Stock up on office supplies.
take care of,처리하다,I'll take care of the report.
take over,인수하다,She will take over the project.
take place,일어나다,The event takes place Friday.
turn down,거절하다,They turned down our offer.
turn in,제출하다,Turn in the form by 5 PM.
work out,"운동하다, 해결되다",Things will work out.
wrap up,마무리하다,Let's wrap up the meeting.
