English,Korean,Example
accommodate,수용하다,The hotel can accommodate 200 guests.
acquire,"인수하다, 획득하다",The company acquired a smaller competitor.
agenda,의제,The meeting agenda was distributed yesterday.
allocate,할당하다,"We allocated $5,000 to marketing."
amend,수정하다,The contract was amended last week.
appliance,가전제품,Kitchen appliances are on sale.
applicant,지원자,We received 50 applicants for the position.
appraise,평가하다,Managers appraise employees annually.
assemble,"조립하다, 모이다",Workers assemble cars on the line.
assignment,"업무, 과제",I have a new assignment this week.
attendance,"출석, 참석",Attendance at the seminar was strong.
authorize,권한을 부여하다,Only managers can authorize refunds.
beverage,음료,Beverages are available at the back.
boost,신장시키다,The ad campaign boosted sales.
brochure,안내 책자,Take a brochure for more information.
budget,예산,We need to stay within budget.
campaign,캠페인,The marketing campaign was successful.
candidate,후보자,Three candidates applied for the position.
certify,인증하다,Our products are certified organic.
client,고객,The client requested a meeting.
commute,통근하다,I commute by subway every day.
compensate,보상하다,We will compensate you for the inconvenience.
compile,"편집하다, 모으다",Please compile the data into a report.
complimentary,무료의,Breakfast is complimentary for guests.
confidential,기밀의,This document is confidential.
confirm,확인하다,Please confirm your reservation.
consultant,컨설턴트,We hired a consultant for advice.
contract,계약,We signed a two-year contract.
corporate,기업의,Corporate policy prohibits this.
coverage,"보장, 보도",The insurance has full coverage.
credentials,자격,She has impressive credentials.
decline,"거절하다, 감소하다",Sales declined last quarter.
deduct,공제하다,Taxes are deducted from your paycheck.
deliver,배송하다,We deliver within 24 hours.
department,부서,Which department do you work in?
deposit,"보증금, 예치하다",A deposit is required.
distribute,배포하다,Please distribute the handouts.
document,문서,Please sign the document.
draft,초안,Please review the draft proposal.
efficient,효율적인,This is a more efficient method.
eligible,자격이 있는,Are you eligible for the discount?
employee,직원,All employees must wear badges.
enclose,동봉하다,I enclose my resume.
ensure,보장하다,Please ensure all forms are signed.
envelope,봉투,Place the letter in the envelope.
estimate,견적,Please provide a cost estimate.
exchange,교환하다,You can exchange the item within 30 days.
executive,임원,The executive will arrive shortly.
expand,확장하다,The company plans to expand overseas.
expense,비용,Travel expenses will be reimbursed.
expire,만료되다,My passport expires next month.
facility,시설,The facility is open 24 hours.
feedback,피드백,We welcome your feedback.
finance,재무,She works in finance.
forecast,예측,The weather forecast looks good.
headquarters,본사,Our headquarters is in Seoul.
implement,실행하다,We will implement the changes next month.
inquiry,문의,We received an inquiry about the product.
install,설치하다,Technicians will install the system.
inventory,재고,Our inventory is running low.
invoice,송장,Please pay the invoice by Friday.
itinerary,여행 일정,I'll email you the itinerary.
launch,출시하다,We will launch the product in June.
liability,책임,The company has limited liability.
maintenance,유지보수,Equipment requires regular maintenance.
manufacture,제조하다,We manufacture electronics.
merchandise,상품,All merchandise must be returned.
merger,합병,The merger was announced today.
negotiate,협상하다,We need to negotiate the terms.
notify,통지하다,Please notify us of any changes.
occupy,차지하다,We occupy the 5th floor.
operate,운영하다,We operate in 20 countries.
opportunity,기회,This is a great opportunity.
outstanding,"미지급의, 뛰어난",The outstanding balance is $500.
overseas,해외의,We have overseas offices.
patron,단골 고객,Loyal patrons receive discounts.
policy,정책,This is our refund policy.
postpone,연기하다,The meeting was postponed.
premises,"부지, 건물",Smoking is prohibited on the premises.
procedure,절차,Follow the standard procedure.
proceed,진행하다,Please proceed to gate 5.
promote,승진시키다,She was promoted to manager.
purchase,구매,Thank you for your purchase.
recruit,모집하다,We are recruiting new staff.
refund,환불,We offer a full refund.
reimburse,환급하다,We will reimburse your expenses.
renovate,개조하다,The hotel is being renovated.
retail,소매,She works in retail.
revenue,수익,Annual revenue increased 10%.
schedule,일정,Check the schedule for changes.
shipment,"발송, 화물",Your shipment will arrive Tuesday.
spreadsheet,스프레드시트,Update the spreadsheet weekly.
subscription,구독,Cancel your subscription anytime.
supplier,공급업체,We changed suppliers last year.
survey,설문조사,Please complete this survey.
terminate,종료하다,Your contract will terminate next month.
transaction,거래,The transaction was approved.
vacancy,공석,We have a vacancy in HR.
vendor,판매업체,The vendor will deliver tomorrow.
warehouse,창고,Goods are stored in the warehouse.
