English,Korean,Example
ability,능력,She has the ability to learn quickly.
accept,받아들이다,I accept your apology.
achieve,성취하다,You can achieve your dreams.
activity,활동,Sports is my favorite activity.
add,더하다,Add some sugar to the tea.
afraid,두려워하는,Don't be afraid of the dark.
agree,동의하다,I agree with you.
allow,허락하다,My parents allow me to stay out.
answer,답하다,Please answer the question.
appear,나타나다,A rainbow appeared after the rain.
believe,믿다,I believe in you.
borrow,빌리다,Can I borrow your pen?
break,부수다,Don't break the window.
bring,가져오다,Please bring your textbook.
busy,바쁜,I am busy this weekend.
careful,조심하는,Be careful crossing the street.
catch,잡다,Catch the ball!
cause,원인,What is the cause of the problem?
change,바꾸다,I want to change my clothes.
choose,선택하다,Choose your favorite color.
clean,깨끗한,Keep your room clean.
clear,명확한,The instructions are clear.
close,가까운,The store is close to my house.
collect,모으다,I collect stamps.
compare,비교하다,Don't compare yourself to others.
complete,완료하다,Complete the assignment by Friday.
continue,계속하다,Please continue your story.
cool,시원한,The water is cool.
create,만들다,Artists create beautiful works.
cross,건너다,Cross the street carefully.
dangerous,위험한,Smoking is dangerous.
decide,결정하다,I can't decide what to wear.
delicious,맛있는,This pizza is delicious.
describe,묘사하다,Describe your hometown.
develop,발전시키다,Read books to develop your mind.
difficult,어려운,This question is difficult.
discover,발견하다,Scientists discover new things daily.
drop,떨어뜨리다,Don't drop the glass.
enjoy,즐기다,I enjoy reading books.
enough,충분한,We have enough food.
especially,특히,"I love fruit, especially apples."
excited,신난,I am excited for the trip.
exercise,운동,Daily exercise is good for you.
experience,경험,I have no experience in cooking.
explain,설명하다,Can you explain this to me?
famous,유명한,He is a famous singer.
feel,느끼다,I feel happy today.
finally,마침내,We finally arrived home.
follow,따르다,Follow the rules.
forget,잊다,Don't forget your umbrella.
friendly,친절한,She is very friendly.
future,미래,What do you want to do in the future?
happen,일어나다,What happened yesterday?
heavy,무거운,This box is too heavy.
helpful,도움이 되는,Your advice is helpful.
holiday,휴일,Tomorrow is a holiday.
hope,희망하다,I hope you feel better.
however,그러나,"It rained; however, we went out."
important,중요한,Health is important.
interesting,흥미로운,This book is interesting.
introduce,소개하다,Let me introduce my friend.
invite,초대하다,I will invite you to my party.
join,가입하다,I joined the soccer club.
journey,여행,The journey was long.
judge,판단하다,Don't judge a book by its cover.
kind,친절한,She is a kind person.
learn,배우다,I learn English every day.
leave,떠나다,I leave for school at 8.
lend,빌려주다,Can you lend me a book?
lonely,외로운,He felt lonely without friends.
lose,잃다,Don't lose your keys.
lucky,운이 좋은,You are lucky to have such friends.
memory,기억,I have a good memory.
mistake,실수,Everyone makes mistakes.
nervous,긴장한,I'm nervous about the test.
notice,알아차리다,I didn't notice the sign.
offer,제안하다,He offered me a job.
often,자주,I often go to the library.
opinion,의견,What's your opinion?
peace,평화,We all want peace.
perhaps,아마도,Perhaps it will rain later.
plan,계획,What are your plans for tomorrow?
popular,인기 있는,K-pop is popular worldwide.
practice,연습하다,Practice makes perfect.
prepare,준비하다,Prepare for the exam carefully.
present,선물,I got a present for my birthday.
probably,아마도,It will probably rain.
promise,약속하다,I promise to help you.
protect,보호하다,Parents protect their children.
proud,자랑스러운,I am proud of you.
receive,받다,I received a letter today.
remember,기억하다,Remember to lock the door.
respect,존경하다,I respect my teachers.
return,돌아오다,When will you return?
several,몇몇의,I have several friends here.
share,공유하다,Share your toys with others.
solve,해결하다,Let's solve this problem together.
special,특별한,Today is a special day.
suggest,제안하다,I suggest we leave now.
wonderful,멋진,We had a wonderful time.
