English,Korean,Example
abate,"줄이다, 약화시키다",The storm finally abated.
abdicate,퇴위하다,The king abdicated the throne.
aberration,"일탈, 이상",This behavior is an aberration.
abhor,혐오하다,I abhor any form of violence.
abrogate,폐지하다,The treaty was abrogated last year.
abstain,삼가다,She abstains from alcohol.
acquiesce,묵인하다,He acquiesced to their demands.
acrimonious,신랄한,The divorce was acrimonious.
adamant,완강한,She was adamant about going.
admonish,훈계하다,The judge admonished the defendant.
adversary,적,He defeated his adversary in court.
alleviate,완화하다,This medicine alleviates pain.
amalgamate,합병하다,The two firms amalgamated.
ameliorate,개선하다,Reforms aim to ameliorate conditions.
anomaly,변칙,The data shows an anomaly.
antipathy,반감,He has an antipathy toward bureaucracy.
apathy,무관심,Voter apathy is a serious issue.
arduous,힘든,The journey was arduous.
articulate,분명히 말하다,She articulates her views well.
ascertain,확인하다,We must ascertain the facts first.
assiduous,근면한,He is an assiduous student.
astute,영민한,She is an astute investor.
augment,늘리다,We will augment the budget.
austere,"엄격한, 검소한",He lived an austere life.
autonomous,자치의,The region is autonomous.
belligerent,적대적인,His tone was belligerent.
benevolent,자비로운,A benevolent donor funded the school.
brevity,간결함,I appreciate your brevity.
cajole,회유하다,She cajoled him into helping.
candor,솔직함,I admire her candor.
capricious,변덕스러운,The weather is capricious here.
censure,비난하다,Officials censured the policy.
circumvent,우회하다,He tried to circumvent the rules.
clandestine,비밀의,They held clandestine meetings.
coerce,강요하다,No one can coerce me into lying.
cogent,설득력 있는,She made a cogent argument.
complacent,자만하는,Don't become complacent after success.
concede,인정하다,He conceded defeat.
conciliatory,화해적인,He took a conciliatory tone.
condone,묵인하다,We cannot condone such behavior.
confound,당황시키다,The results confounded scientists.
consummate,완벽한,She is a consummate professional.
contentious,논쟁적인,That is a contentious issue.
corroborate,입증하다,Witnesses corroborated his story.
credulous,잘 믿는,He is too credulous of strangers.
culpable,유죄의,The company was culpable for the spill.
cursory,피상적인,A cursory glance is not enough.
dearth,부족,There is a dearth of qualified workers.
debunk,폭로하다,The study debunks common myths.
delineate,윤곽을 그리다,The contract delineates duties.
deride,조롱하다,Critics derided his work.
desultory,산만한,He made desultory remarks.
dichotomy,이분법,The dichotomy is false.
disparate,이질적인,The data is from disparate sources.
disseminate,퍼뜨리다,We disseminate information widely.
divulge,누설하다,He refused to divulge details.
dogmatic,독단적인,His dogmatic views are unwelcome.
ebullient,활기찬,She has an ebullient personality.
egregious,엄청난,That was an egregious mistake.
elicit,끌어내다,The question elicited a strong response.
eloquent,웅변의,He gave an eloquent speech.
emulate,본받다,Students should emulate good leaders.
enervate,기력을 빼앗다,The heat enervated us.
ephemeral,일시적인,Fame is often ephemeral.
equivocal,모호한,His answer was equivocal.
eradicate,근절하다,We aim to eradicate poverty.
erudite,박학한,He is an erudite scholar.
esoteric,난해한,The lecture was too esoteric.
exacerbate,악화시키다,Stress can exacerbate illness.
exonerate,무죄임을 입증하다,New evidence exonerated him.
expedient,편의적인,It was the most expedient solution.
extol,격찬하다,Critics extolled the novel.
fastidious,까다로운,He is fastidious about details.
fortuitous,우연한,It was a fortuitous meeting.
garrulous,수다스러운,The garrulous host wouldn't stop talking.
gregarious,사교적인,She is a gregarious woman.
hackneyed,진부한,That phrase is hackneyed.
impervious,영향받지 않는,He is impervious to criticism.
impetuous,충동적인,Don't make impetuous decisions.
inadvertent,부주의한,It was an inadvertent error.
incessant,끊임없는,The incessant noise was annoying.
inculcate,주입시키다,We inculcate good values in children.
indolent,게으른,He has become indolent.
ineffable,형언할 수 없는,The view was ineffable.
inveterate,상습적인,He is an inveterate gambler.
juxtapose,병치하다,The artist juxtaposes light and shadow.
laconic,말수가 적은,His laconic reply surprised me.
lassitude,무기력,A feeling of lassitude swept over her.
magnanimous,관대한,The winner was magnanimous in victory.
malign,비방하다,He maligned his rivals openly.
mitigate,완화하다,Steps were taken to mitigate damage.
obfuscate,모호하게 하다,He tried to obfuscate the truth.
obstinate,완고한,She is obstinate in her opinions.
ostentatious,과시적인,His lifestyle is ostentatious.
perfunctory,형식적인,He gave a perfunctory nod.
propitious,좋은 조건의,This is a propitious time to invest.
recalcitrant,반항적인,The recalcitrant student was suspended.
tacit,암묵적인,We had a tacit agreement.
ubiquitous,어디에나 있는,Smartphones are ubiquitous now.
vindicate,정당함을 입증하다,Time will vindicate his decision.
