English,Korean,Example
abide by,준수하다,We must abide by the law.
account for,설명하다,The minister must account for the policy.
adhere to,고수하다,Adhere to the regulations strictly.
amount to,~에 달하다,Damages amount to millions.
at the expense of,~을 희생하여,Growth at the expense of environment is unwise.
at the mercy of,~의 처분에 맡겨진,Citizens are at the mercy of policy changes.
be averse to,싫어하다,He is averse to taking risks.
be conducive to,~에 도움이 되다,This climate is conducive to learning.
be obliged to,~할 의무가 있다,Officials are obliged to disclose assets.
be subject to,~의 영향을 받다,All laws are subject to revision.
bear in mind,명심하다,Bear in mind the consequences.
by virtue of,~덕분에,"By virtue of his office, he chairs the meeting."
come to terms with,받아들이다,She came to terms with the loss.
comply with,준수하다,All firms must comply with the law.
dispense with,없이 지내다,We can dispense with formalities.
dwell on,~에 대해 곱씹다,Don't dwell on the past.
embark on,착수하다,He embarked on a new career.
fall short of,미치지 못하다,Results fell short of expectations.
for the sake of,~을 위해,"For the sake of justice, we proceed."
give credence to,신뢰하다,I give credence to her testimony.
give rise to,야기하다,This policy will give rise to debate.
have a bearing on,관련 있다,This evidence has a bearing on the case.
in accordance with,~에 따라,In accordance with the rules.
in conjunction with,~와 함께,In conjunction with other agencies.
in lieu of,~대신에,Cash in lieu of vacation days.
in the wake of,~의 여파로,In the wake of the scandal.
lend itself to,~에 적합하다,The space lends itself to events.
live up to,부응하다,He failed to live up to his promise.
make allowance for,감안하다,Make allowance for delays.
make headway,진척시키다,We made headway on the bill.
on the verge of,~의 직전에,The country is on the verge of reform.
pave the way for,길을 열다,This paves the way for change.
pay heed to,주의를 기울이다,Pay heed to expert warnings.
play a role in,역할을 하다,Citizens play a role in democracy.
prevail over,우세하다,Justice will prevail over corruption.
put forward,제시하다,The minister put forward a proposal.
rest on,~에 달려 있다,Success rests on cooperation.
shed light on,밝히다,The report shed light on the issue.
stem from,~에서 비롯되다,Conflict stems from inequality.
subject to,~을 조건으로,Subject to approval by the board.
take exception to,이의를 제기하다,I take exception to that claim.
take into account,고려하다,Take into account public opinion.
take issue with,이의를 제기하다,I take issue with that point.
take precedence over,우선하다,Safety takes precedence over speed.
to the detriment of,~에 손해를 끼치며,Profits at the detriment of welfare.
tantamount to,~에 해당하는,This is tantamount to fraud.
with regard to,~에 관하여,With regard to your request.
with the exception of,~을 제외하고,With the exception of holidays.
without prejudice,권리 침해 없이,Settled without prejudice.
yield to,굴복하다,The government yielded to pressure.
