English,Korean,Example
abandon,"버리다, 포기하다",He had to abandon his car in the snowstorm.
abstract,추상적인,Beauty is an abstract concept that varies by culture.
accumulate,축적하다,Dust tends to accumulate on bookshelves.
acknowledge,인정하다,She acknowledged her mistake and apologized.
adapt,적응시키다,Animals must adapt to their environment to survive.
adequate,"충분한, 적절한",The room is adequate for ten people.
adopt,"채택하다, 입양하다",The committee adopted a new policy.
advocate,옹호하다,She advocates for children's rights.
ambiguous,모호한,His answer was ambiguous and confusing.
analyze,분석하다,Scientists analyze data to draw conclusions.
anticipate,예상하다,We anticipate strong sales next quarter.
apparent,분명한,It was apparent that he was tired.
appropriate,적절한,Please wear appropriate clothing for the interview.
arbitrary,임의적인,The decision seemed arbitrary and unfair.
articulate,명확히 표현하다,She articulated her thoughts clearly.
assert,주장하다,He asserted that he was innocent.
assume,가정하다,Don't assume people know what you mean.
attain,달성하다,She attained her goal of becoming a doctor.
attribute,~의 탓으로 돌리다,He attributes his success to hard work.
authentic,진짜의,This is an authentic Italian recipe.
awareness,인식,Public awareness of climate change is growing.
behalf,"대신, 편",I am speaking on behalf of my team.
beneficial,유익한,Exercise is beneficial to health.
bias,편견,The article showed a clear bias.
capacity,"능력, 수용력","The stadium has a capacity of 50,000."
challenge,도전하다,She challenged him to a debate.
circumstance,상황,Under no circumstances should you open this door.
coherent,일관성 있는,Please write a coherent argument.
collaborate,협력하다,The two scientists collaborated on the project.
compel,강요하다,The evidence compelled him to confess.
complement,보완하다,The wine complements the meal nicely.
comprehensive,포괄적인,The report is comprehensive and detailed.
conceive,생각해내다,He conceived a brilliant plan.
conform,"따르다, 순응하다",Students must conform to school rules.
consequence,결과,Every action has consequences.
constitute,구성하다,Women constitute 60% of the workforce.
contemplate,숙고하다,She contemplated her future career.
contradict,모순되다,His actions contradict his words.
contribute,기여하다,Many factors contribute to success.
controversy,논란,The decision caused great controversy.
convert,전환하다,We converted the garage into an office.
convey,전달하다,Words cannot convey my gratitude.
crucial,결정적인,Sleep is crucial for good health.
cultivate,"경작하다, 양성하다",Farmers cultivate the land each spring.
deduce,추론하다,Sherlock deduced the truth from small clues.
dedicate,헌신하다,She dedicated her life to teaching.
deficient,부족한,His diet is deficient in vitamins.
demonstrate,입증하다,The experiment demonstrates the theory.
derive,유래하다,Many English words derive from Latin.
designate,지정하다,This area is designated for parking.
deteriorate,악화되다,His health began to deteriorate rapidly.
devote,바치다,He devotes his weekends to family.
diminish,줄어들다,The pain gradually diminished.
discern,식별하다,It's hard to discern the truth here.
disclose,공개하다,He refused to disclose his sources.
distinguish,구별하다,It's hard to distinguish the twins.
distort,왜곡하다,The media distorted the facts.
diverse,다양한,New York is a diverse city.
dominate,지배하다,The team dominated the match.
elaborate,정교한; 자세히 설명하다,Could you elaborate on that point?
elicit,이끌어내다,The teacher tried to elicit answers from students.
eliminate,제거하다,We must eliminate waste from the process.
embrace,받아들이다,We should embrace new technology.
emphasize,강조하다,He emphasized the importance of honesty.
encounter,마주치다,I encountered an old friend at the store.
endorse,지지하다,The mayor endorsed the new policy.
enhance,향상시키다,Music can enhance your mood.
enroll,등록하다,She enrolled in a Spanish course.
equivalent,동등한,"One dollar is equivalent to about 1,300 won."
essential,필수적인,Water is essential for life.
evaluate,평가하다,Teachers evaluate students' performance.
evident,명백한,It was evident he was lying.
evoke,불러일으키다,The song evokes childhood memories.
exaggerate,과장하다,Don't exaggerate the problem.
exceed,초과하다,Sales exceeded our expectations.
exclude,제외하다,The price excludes tax.
exhibit,전시하다,The museum exhibits ancient art.
exploit,"착취하다, 이용하다",Companies should not exploit workers.
external,외부의,External factors affect our business.
fascinate,매혹하다,Space fascinates many children.
feasible,실현 가능한,The plan is feasible with more funding.
flourish,번창하다,The business flourished last year.
fluctuate,변동하다,Prices fluctuate daily.
foster,육성하다,We must foster creativity in schools.
fundamental,근본적인,Honesty is a fundamental value.
genuine,진실한,Her smile was genuine.
grasp,이해하다,It's hard to grasp this concept.
hierarchy,위계,There is a strict hierarchy in the company.
hinder,방해하다,Bad weather hindered our progress.
hypothesis,가설,Scientists test their hypothesis with experiments.
illuminate,밝히다,The data illuminates the trend.
imply,암시하다,Silence does not imply consent.
inevitable,피할 수 없는,Change is inevitable in life.
infer,추론하다,We can infer the meaning from context.
inherent,내재된,Risk is inherent in any investment.
innovate,혁신하다,Companies must innovate to survive.
integrate,통합하다,We integrate technology into classrooms.
interpret,해석하다,How do you interpret this poem?
intuition,직감,Trust your intuition sometimes.
justify,정당화하다,The end does not justify the means.
