English,Korean,Example
a lot of,많은,I have a lot of homework.
ask for,요청하다,Ask for help when needed.
at first,처음에는,"At first, I was nervous."
at last,마침내,"At last, the bus arrived."
at least,적어도,Sleep at least 8 hours.
at the same time,동시에,We arrived at the same time.
be able to,~할 수 있다,I am able to swim.
be afraid of,~을 두려워하다,I am afraid of spiders.
be busy with,~로 바쁘다,She is busy with homework.
be famous for,~로 유명하다,Korea is famous for kimchi.
be filled with,~로 가득 차다,The box is filled with books.
be full of,~로 가득하다,The room is full of people.
be good at,~을 잘하다,He is good at math.
be interested in,~에 흥미가 있다,I am interested in music.
be late for,~에 늦다,Don't be late for class.
be made of,~로 만들어지다,The table is made of wood.
be proud of,~을 자랑스러워하다,I am proud of my family.
be similar to,~와 비슷하다,Korean is similar to Japanese.
by the way,그런데,"By the way, where are you going?"
each other,서로,We help each other.
for example,예를 들어,"Many fruits, for example, apples."
for the first time,처음으로,I tried sushi for the first time.
get off,내리다,Get off at the next stop.
get on,타다,Get on the bus quickly.
get up,일어나다,I get up at 7 every day.
give up,포기하다,Never give up your dreams.
go on,계속하다,Please go on with your story.
go out,외출하다,Let's go out for dinner.
grow up,자라다,I grew up in Seoul.
have to,~해야 한다,I have to study tonight.
how about,~는 어때?,How about pizza?
in front of,~앞에,Stand in front of the door.
in the end,결국,"In the end, we won the game."
listen to,~을 듣다,I listen to music daily.
look after,돌보다,Please look after my dog.
look at,~을 보다,Look at this picture.
look for,~을 찾다,I'm looking for my keys.
look like,~처럼 보이다,You look like your father.
make friends,친구를 사귀다,It's easy to make friends here.
of course,물론,Of course you can join us.
once upon a time,옛날 옛적에,"Once upon a time, there was a king."
pick up,집어 들다,Pick up your toys.
right away,즉시,Come here right away.
take a picture,사진을 찍다,Take a picture of us.
take a walk,산책하다,Let's take a walk in the park.
take care of,돌보다,Take care of yourself.
thanks to,~덕분에,"Thanks to you, I passed."
throw away,버리다,Throw away the trash.
wait for,기다리다,I will wait for you.
would like to,~하고 싶다,I would like to go home.
